time,x,y,z,yaw
163645093.404843002557755,-25989.672679999999673,-93005.457280000002356,-6.083810000000000,2.092340000000000
163645093.504842996597290,-25990.504379999998491,-93004.012570000006235,-6.075220000000000,2.093800000000000
163645093.603843003511429,-25991.337980000000243,-93002.568969999992987,-6.067640000000000,2.094910000000000
163645093.703842997550964,-25992.172630000000936,-93001.125979999997071,-6.062110000000000,2.095330000000000
163645093.803842991590500,-25993.007549999998446,-92999.683139999993728,-6.057830000000000,2.095400000000000
163645093.900842994451523,-25993.842619999999442,-92998.240390000006300,-6.053180000000000,2.095610000000000
163645094.000842988491058,-25994.678250000000844,-92996.797940000004019,-6.047470000000000,2.096130000000000
163645094.100843012332916,-25995.514849999999569,-92995.356079999997746,-6.041490000000000,2.096920000000000
163645094.200843006372452,-25996.352739999998448,-92993.914950000005774,-6.036560000000000,2.097880000000000
163645094.300843000411987,-25997.192169999998441,-92992.474730000001728,-6.033340000000000,2.099070000000000
163645094.400842994451523,-25998.033550000000105,-92991.035640000001877,-6.030640000000000,2.100560000000000
163645094.500842005014420,-25998.877140000000509,-92989.597869999997783,-6.026520000000000,2.102050000000000
163645094.600841999053955,-25999.722620000000461,-92988.161160000003292,-6.020700000000000,2.103180000000000
163645094.699842005968094,-26000.569410000000062,-92986.725279999998747,-6.014350000000000,2.103980000000000
163645094.801842004060745,-26001.417369999999210,-92985.290040000007139,-6.008580000000000,2.104860000000000
163645094.900842010974884,-26002.266810000000987,-92983.855710000003455,-6.004010000000000,2.106000000000000
163645094.999841988086700,-26003.117869999998220,-92982.422330000001239,-6.000550000000000,2.107010000000000
163645095.100841999053955,-26003.969969999998284,-92980.989560000001802,-5.997390000000000,2.107510000000000
163645095.200841993093491,-26004.822449999999662,-92979.557010000004084,-5.993520000000000,2.107620000000000
163645095.300841987133026,-26005.674999999999272,-92978.124509999994189,-5.988730000000000,2.107680000000000
163645095.400842010974884,-26006.527719999998226,-92976.692139999999199,-5.983540000000000,2.107860000000000
163645095.501841008663177,-26007.380840000001626,-92975.259980000002543,-5.978670000000000,2.108230000000000
163645095.600840985774994,-26008.234649999998510,-92973.828219999995781,-5.974350000000000,2.108760000000000
163645095.701840996742249,-26009.089189999998780,-92972.396909999995842,-5.969710000000000,2.109210000000000
163645095.801840990781784,-26009.944110000000364,-92970.965819999997620,-5.964200000000000,2.109310000000000
163645095.900840997695923,-26010.798869999998715,-92969.534669999993639,-5.958090000000000,2.109040000000000
163645096.000840991735458,-26011.653080000000045,-92968.103149999995367,-5.951780000000000,2.108600000000000
163645096.100840985774994,-26012.506740000000718,-92966.671329999997397,-5.945830000000000,2.108330000000000
163645096.201840996742249,-26013.360369999998511,-92965.239440000004834,-5.941370000000000,2.108500000000000
163645096.301840990781784,-26014.214540000000852,-92963.807920000006561,-5.937960000000000,2.109030000000000
163645096.399841010570526,-26015.069469999998546,-92962.376829999993788,-5.933310000000000,2.109480000000000
163645096.501841008663177,-26015.924709999999322,-92960.945949999993900,-5.927730000000000,2.109520000000000
163645096.600840002298355,-26016.779940000000352,-92959.515050000001793,-5.923210000000000,2.109540000000000
163645096.700839996337891,-26017.635510000000068,-92958.084350000004633,-5.919480000000000,2.110020000000000
163645096.801840007305145,-26018.492109999999229,-92956.654299999994691,-5.915540000000000,2.110860000000000
163645096.901840001344681,-26019.349930000000313,-92955.224919999993290,-5.910780000000000,2.111660000000000
163645097.001839995384216,-26020.208620000001247,-92953.796109999995679,-5.905020000000000,2.112090000000000
163645097.101839989423752,-26021.067670000000362,-92952.367490000004182,-5.899170000000000,2.112280000000000
163645097.200839996337891,-26021.927230000001146,-92950.939209999996820,-5.894280000000000,2.112860000000000
163645097.299840003252029,-26022.788100000001577,-92949.511689999999362,-5.890850000000000,2.114010000000000
163645097.400840014219284,-26023.650630000000092,-92948.085179999994580,-5.888390000000000,2.115070000000000
163645097.501839995384216,-26024.514279999999417,-92946.659329999994952,-5.884560000000000,2.115620000000000
163645097.601839005947113,-26025.378459999999905,-92945.233829999997397,-5.878380000000000,2.115910000000000
163645097.701838999986649,-26026.243030000001454,-92943.808560000004945,-5.871630000000000,2.116160000000000
163645097.801838994026184,-26027.107860000000073,-92942.383449999993900,-5.865680000000000,2.116270000000000
163645097.900839000940323,-26027.972590000001219,-92940.958280000006198,-5.860740000000000,2.116020000000000
163645098.001839011907578,-26028.836670000000595,-92939.532680000003893,-5.856500000000000,2.115380000000000
163645098.101839005947113,-26029.699519999998302,-92938.106379999997444,-5.852810000000000,2.114380000000000
163645098.201838999986649,-26030.560740000000806,-92936.679080000001704,-5.849750000000000,2.113130000000000
163645098.301838994026184,-26031.420150000001740,-92935.250700000004144,-5.846330000000000,2.111890000000000
163645098.400839000940323,-26032.277939999999944,-92933.821320000002743,-5.841540000000000,2.110840000000000
163645098.501839011907578,-26033.134279999998398,-92932.391080000001239,-5.835800000000000,2.109820000000000
163645098.601839005947113,-26033.989040000000386,-92930.959900000001653,-5.830210000000000,2.108670000000000
163645098.700837999582291,-26034.842160000000149,-92929.527740000004997,-5.825030000000000,2.107540000000000
163645098.801838010549545,-26035.693759999998292,-92928.094700000001467,-5.819770000000000,2.106520000000000
163645098.901838004589081,-26036.543900000000576,-92926.660770000002231,-5.814400000000000,2.105510000000000
163645099.002837985754013,-26037.392650000001595,-92925.226009999998496,-5.809220000000000,2.104600000000000
163645099.100838005542755,-26038.240300000001298,-92923.790619999999763,-5.803720000000000,2.103960000000000
163645099.201837986707687,-26039.087260000000242,-92922.354800000000978,-5.796800000000000,2.103620000000000
163645099.301838010549545,-26039.933880000000499,-92920.918789999996079,-5.789630000000000,2.103390000000000
163645099.401838004589081,-26040.780009999998583,-92919.482480000006035,-5.785020000000000,2.102960000000000
163645099.500838011503220,-26041.625469999999041,-92918.045809999995981,-5.782890000000000,2.102500000000000
163645099.600838005542755,-26042.470410000001721,-92916.608800000001793,-5.779740000000000,2.102230000000000
163645099.702836990356445,-26043.314959999999701,-92915.171570000005886,-5.772930000000000,2.101880000000000
163645099.801836997270584,-26044.158749999998690,-92913.733890000003157,-5.763690000000000,2.101220000000000
163645099.902837008237839,-26045.001420000000508,-92912.295559999998659,-5.754430000000000,2.100390000000000
163645100.002837002277374,-26045.842860000000655,-92910.856539999993402,-5.745170000000000,2.099500000000000
163645100.101837009191513,-26046.682890000000043,-92909.416660000002594,-5.735600000000000,2.098410000000000
